JOB_TITLE,COUNT,median,std
Software Engineer,611722,104291.0,38409.40195719037
Systems Analyst/Engineer/Architect,526953,85301.0,32656.92647957876
Technical/Project/Product Manager,264154,110531.0,38528.79922010067
QA Engineer,86467,86611.0,33827.69697723808
Data Engineer/Architect,37379,101192.0,35353.58140799993
Data Scientist,31124,103002.0,34569.62466115077
Assistant Professor,20244,61645.0,28583.704093068995
Database Administrator/Engineer,16730,84718.0,26569.99915455251
DevOps/Site Reliability Engineer,14107,94806.0,35263.36765409331
Mechanical Engineer,13474,80818.5,33141.97204233202
Business Analyst/Business Intelligence,11606,91749.0,30053.58555991569
Network Engineer/Administrator/Architect,10713,86029.0,40316.931518170706
Security Engineer/Cybersecurity,8684,106413.0,37491.66980250474
Machine Learning/AI Engineer,8401,133390.0,41052.980436180325
Java Developer,7770,87485.0,33154.55347401906
Electrical Engineer,7741,84802.0,35365.5895302322
Senior Consultant,7066,95389.0,20185.482399701457
Application Developer,6996,87485.0,24107.664355939865
Vice President,6407,129792.0,28934.934493335364
Research Scientist,6206,85852.0,50980.396755474416
